timestamp,open,high,low,close,adjusted close,volume,dividend amount
2020-07-24,49.6000,51.4500,48.5500,48.9000,47.2537,5101961,0.0000
2020-07-17,51.0000,51.0000,46.0000,49.3000,47.6402,7222457,1.5500
2020-07-10,50.9000,53.2000,49.6500,50.3500,47.1344,13043485,0.0000
2020-07-03,46.7500,51.1500,44.0500,49.9500,46.7600,15459950,0.0000
2020-06-26,43.4000,47.3500,42.8000,46.3500,43.3899,14994673,0.0000
2020-06-19,42.3500,43.9000,40.2000,43.2500,40.4879,12320947,0.0000
2020-06-12,44.5500,44.8000,38.0000,41.7500,39.0837,8511721,0.0000
2020-06-05,37.4000,44.3000,37.3000,43.9500,41.1432,14815684,0.0000
2020-05-29,33.6000,37.5500,33.6000,36.6000,34.2626,9445284,0.0000
2020-05-22,32.4000,34.6000,30.2500,33.7500,31.5946,13335234,0.0000
2020-05-15,29.3000,33.2000,27.0000,31.4000,29.3947,9561842,0.0000
2020-05-08,31.9000,31.9000,27.7000,28.4500,26.6331,3384616,0.0000
2020-04-30,31.2500,32.1500,30.5500,31.7500,29.7223,2555173,0.0000
2020-04-24,34.8000,34.8000,30.8500,31.1000,29.1138,2797444,0.0000
2020-04-17,36.5500,37.5000,34.2000,34.4500,32.2499,1921387,0.0000
2020-04-09,31.1000,36.8000,30.8000,36.5000,34.1690,1892503,0.0000
2020-04-03,34.2000,34.3500,30.0000,30.2000,28.2713,1272403,0.0000
2020-03-27,34.5000,36.9000,31.3000,33.9500,31.7818,2279561,0.0000
2020-03-20,41.9000,42.4000,32.7000,36.8000,34.4498,3943814,0.0000
2020-03-13,43.0000,43.0000,34.0000,42.1500,39.4581,6278700,0.0000
2020-03-06,47.0000,47.8000,41.5500,43.0500,40.3006,3429712,0.0000
2020-02-28,51.9000,52.9000,46.1000,46.6500,43.6707,3824848,0.0000
2020-02-20,54.0000,54.1000,50.5500,51.6000,48.3046,2001394,0.0000
2020-02-14,57.9000,58.2500,53.5500,53.7500,50.3173,1034485,0.0000
2020-02-07,55.7000,58.1500,54.6500,57.9500,54.2491,1546852,0.0000
2020-01-31,61.1000,62.0000,57.7000,58.0500,54.3427,1658610,0.0000
2020-01-24,61.6000,61.9500,58.9500,61.1500,57.2447,1207518,0.0000
2020-01-17,59.9000,62.1000,58.9000,61.5000,57.5723,1849723,0.0000
2020-01-10,57.7000,59.5000,55.7500,58.9500,55.1852,1965344,0.0000
2020-01-03,56.2000,58.5000,55.7500,57.7500,54.0618,1548596,0.0000
2019-12-27,55.1000,56.6000,55.0000,56.1500,52.5640,1186293,0.0000
2019-12-20,54.7500,56.2500,54.1000,55.4000,51.8619,2145539,0.0000
2019-12-13,53.5000,54.6500,51.0500,54.0000,50.5513,2775835,0.0000
2019-12-06,56.6000,57.2000,53.2500,53.5000,50.0833,2238864,0.0000
2019-11-29,55.1500,58.9500,55.1500,57.4000,53.7342,4134519,0.0000
2019-11-22,54.9000,56.5500,54.3500,55.1500,51.6279,1829381,0.0000
2019-11-15,61.0000,61.0000,54.2500,54.5000,51.0194,13422564,0.0000
2019-11-08,59.8500,60.8000,57.5500,59.5000,55.7001,3036064,0.0000
2019-11-01,58.8500,60.2500,58.0000,59.5500,55.7469,3118477,0.0000
2019-10-25,59.8500,62.2000,57.3000,57.6500,53.9682,4111931,0.0000
2019-10-18,60.9500,61.4000,57.6000,60.0500,56.2150,3978819,0.0000
2019-10-11,58.6500,62.2000,56.7500,61.0500,57.1511,8381505,0.0000
2019-10-04,62.2000,62.9500,57.8000,58.0500,54.3427,4029397,0.0000
2019-09-27,68.0000,68.8000,61.9500,62.1000,58.1340,5375596,0.0000
2019-09-20,63.9500,68.4500,63.1000,67.0000,62.7211,17309561,0.0000
2019-09-13,58.5000,65.0500,57.8500,64.3000,60.1935,18093773,0.0000
2019-09-06,55.3500,59.3500,53.0000,58.0000,54.2959,3733499,0.0000
2019-08-30,55.0000,57.0000,53.8000,56.7500,53.1257,3620838,0.0000
2019-08-23,56.8000,58.0500,50.4000,54.4500,50.9726,4596294,0.0000
2019-08-16,58.3000,58.3000,54.0500,56.1000,52.5172,1529034,0.0000
2019-08-09,58.7500,60.2500,56.8000,57.5500,53.8746,2790085,0.0000
2019-08-02,62.3000,63.2500,57.7000,59.2000,55.4192,2822660,0.0000
2019-07-26,66.8000,67.9500,61.0000,62.3000,58.3213,5506873,0.0000
2019-07-19,68.3500,70.0000,65.2000,66.4500,62.2062,1600213,0.0000
2019-07-12,70.4500,70.4500,66.2000,68.1500,63.7977,1482599,0.0000
2019-07-05,69.3000,74.0500,68.2000,70.6500,66.1380,3129532,0.0000
2019-06-28,65.7000,70.1500,64.5000,69.0000,64.5934,2482186,0.0000
2019-06-21,65.8000,65.8000,63.0000,65.2000,61.0361,2819667,0.0000
2019-06-14,66.5000,67.7500,64.8500,65.1500,60.9892,3714098,0.0000
2019-06-07,68.9500,69.1000,64.0000,66.1000,61.8786,1762903,1.3000
2019-05-31,67.0000,71.1500,67.0000,68.8500,63.2280,6138507,0.0000
2019-05-24,63.0000,68.0000,63.0000,67.7000,62.1719,5028818,0.0000
2019-05-17,63.3000,64.3500,60.9000,61.4500,56.4322,2775954,0.0000
2019-05-10,66.9500,66.9500,63.2000,63.9000,58.6822,2146966,0.0000
2019-05-03,67.6000,68.2000,65.5000,67.1500,61.6668,1904309,0.0000
2019-04-26,70.2000,70.3500,67.1500,67.7000,62.1719,3626860,0.0000
2019-04-18,73.2000,73.2000,70.0000,70.5500,64.7891,3322921,0.0000
2019-04-12,73.3000,74.5000,70.6500,72.9500,66.9932,8781552,0.0000
2019-04-05,74.4000,76.9000,70.5000,71.7500,65.8912,4715726,0.0000
2019-03-29,72.9500,74.5500,70.7000,73.8000,67.7738,2796498,0.0000
2019-03-22,74.0000,74.7500,71.7500,72.5000,66.5799,1390537,0.0000
2019-03-15,70.2000,74.6500,70.2000,73.7500,67.7278,7267998,0.0000
2019-03-08,67.5000,73.9000,67.3500,69.8500,64.1463,4139410,0.0000
2019-03-01,67.1000,67.9000,64.1000,67.0500,61.5749,2136595,0.0000
2019-02-22,69.4000,69.5000,64.6500,67.1000,61.6209,1548675,0.0000
2019-02-15,68.1000,70.2000,64.5500,69.2500,63.5953,3772964,0.0000
2019-02-08,71.5500,71.6000,68.1000,68.6500,63.0443,1471808,0.0000
2019-02-01,74.1000,74.1000,67.7500,71.4500,65.6157,5735347,0.0000
2019-01-25,76.0000,77.9000,73.4500,73.9500,67.9115,4034815,0.0000
2019-01-18,74.9500,76.8500,73.6000,76.0000,69.7941,7286061,0.0000
2019-01-11,75.3500,75.7000,73.8000,75.0000,68.8758,1699818,0.0000
2019-01-04,77.0500,77.9000,73.8000,75.1500,69.0135,2091646,0.0000
2018-12-28,76.1500,78.5000,74.9500,77.1500,70.8502,3678083,0.0000
2018-12-21,79.9000,80.6500,76.1000,76.5000,70.2533,3114888,0.0000
2018-12-14,78.3000,81.3000,75.9500,79.3500,72.8706,2289597,0.0000
2018-12-07,76.9000,83.7500,76.8000,79.3000,72.8247,4513075,0.0000
2018-11-30,75.0500,76.6500,73.4000,76.2500,70.0237,2331674,0.0000
